=== Comprehensive Simulation Summary ===
Simulation Duration: 46948 sec
Total VM Rental Cost (Billing): $3624.5
Total VM Rental Cost (Executaion): $1551.68
Total Energy Consumption: 558604.95 Watt-seconds
Deadline Violation Count: 1 out of 1

Workflow Details:
  Workflow: wf-0 (DEADLINE VIOLATED)
    Arrival Time: 0 sec
    Deadline: 50808.02 sec
    Makespan: 52288.59 sec
    Tasks:
      Task ID00000: Sub-Deadline=30.9 sec, Start=5.0 sec, End=32.3 sec, Execution=27.3 sec, VM=vm-1, Execution-Cost=$0.0341, Energy=12 Ws
      Task ID00035: Sub-Deadline=40.2 sec, Start=33.8 sec, End=38.1 sec, Execution=4.3 sec, VM=vm-16, Execution-Cost=$0.0054, Energy=2 Ws
      Task ID00036: Sub-Deadline=39.8 sec, Start=32.4 sec, End=34.5 sec, Execution=2.2 sec, VM=vm-1, Execution-Cost=$0.0027, Energy=1 Ws
      Task ID00037: Sub-Deadline=57.4 sec, Start=53.6 sec, End=58.8 sec, Execution=5.2 sec, VM=vm-21, Execution-Cost=$0.0065, Energy=2 Ws
      Task ID00038: Sub-Deadline=73.8 sec, Start=51.3 sec, End=60.9 sec, Execution=9.6 sec, VM=vm-34, Execution-Cost=$0.0120, Energy=4 Ws
      Task ID00039: Sub-Deadline=57.1 sec, Start=55.0 sec, End=60.2 sec, Execution=5.2 sec, VM=vm-25, Execution-Cost=$0.0065, Energy=2 Ws
      Task ID00040: Sub-Deadline=56.7 sec, Start=49.0 sec, End=53.7 sec, Execution=4.8 sec, VM=vm-15, Execution-Cost=$0.0060, Energy=2 Ws
      Task ID00041: Sub-Deadline=60.2 sec, Start=51.6 sec, End=58.1 sec, Execution=6.5 sec, VM=vm-33, Execution-Cost=$0.0081, Energy=3 Ws
      Task ID00042: Sub-Deadline=59.6 sec, Start=50.7 sec, End=58.8 sec, Execution=8.0 sec, VM=vm-32, Execution-Cost=$0.0101, Energy=4 Ws
      Task ID00043: Sub-Deadline=55.4 sec, Start=47.7 sec, End=54.7 sec, Execution=7.0 sec, VM=vm-14, Execution-Cost=$0.0088, Energy=3 Ws
      Task ID00044: Sub-Deadline=63.5 sec, Start=53.6 sec, End=61.9 sec, Execution=8.3 sec, VM=vm-28, Execution-Cost=$0.0103, Energy=4 Ws
      Task ID00045: Sub-Deadline=59.2 sec, Start=50.5 sec, End=58.1 sec, Execution=7.6 sec, VM=vm-24, Execution-Cost=$0.0095, Energy=3 Ws
      Task ID00046: Sub-Deadline=71.7 sec, Start=58.7 sec, End=72.1 sec, Execution=13.4 sec, VM=vm-13, Execution-Cost=$0.0167, Energy=6 Ws
      Task ID00047: Sub-Deadline=56.3 sec, Start=48.4 sec, End=53.6 sec, Execution=5.2 sec, VM=vm-21, Execution-Cost=$0.0065, Energy=2 Ws
      Task ID00048: Sub-Deadline=60.6 sec, Start=50.3 sec, End=59.4 sec, Execution=9.1 sec, VM=vm-30, Execution-Cost=$0.0114, Energy=4 Ws
      Task ID00049: Sub-Deadline=91.4 sec, Start=78.2 sec, End=92.5 sec, Execution=14.4 sec, VM=vm-47, Execution-Cost=$0.0179, Energy=6 Ws
      Task ID00050: Sub-Deadline=88.9 sec, Start=64.3 sec, End=78.1 sec, Execution=13.8 sec, VM=vm-29, Execution-Cost=$0.0172, Energy=6 Ws
      Task ID00051: Sub-Deadline=91.5 sec, Start=62.8 sec, End=74.5 sec, Execution=11.6 sec, VM=vm-37, Execution-Cost=$0.0145, Energy=5 Ws
      Task ID00052: Sub-Deadline=92.3 sec, Start=64.7 sec, End=78.2 sec, Execution=13.5 sec, VM=vm-47, Execution-Cost=$0.0168, Energy=6 Ws
      Task ID00053: Sub-Deadline=74.9 sec, Start=63.2 sec, End=68.2 sec, Execution=4.9 sec, VM=vm-39, Execution-Cost=$0.0062, Energy=2 Ws
      Task ID00054: Sub-Deadline=81.2 sec, Start=69.6 sec, End=75.7 sec, Execution=6.1 sec, VM=vm-51, Execution-Cost=$0.0076, Energy=3 Ws
      Task ID00055: Sub-Deadline=55.2 sec, Start=49.8 sec, End=54.1 sec, Execution=4.3 sec, VM=vm-10, Execution-Cost=$0.0054, Energy=2 Ws
      Task ID00056: Sub-Deadline=59.8 sec, Start=52.2 sec, End=57.0 sec, Execution=4.8 sec, VM=vm-37, Execution-Cost=$0.0061, Energy=2 Ws
      Task ID00057: Sub-Deadline=65.7 sec, Start=51.7 sec, End=62.1 sec, Execution=10.4 sec, VM=vm-36, Execution-Cost=$0.0130, Energy=5 Ws
      Task ID00058: Sub-Deadline=55.8 sec, Start=49.1 sec, End=53.5 sec, Execution=4.4 sec, VM=vm-12, Execution-Cost=$0.0056, Energy=2 Ws
      Task ID00059: Sub-Deadline=53.7 sec, Start=49.2 sec, End=52.6 sec, Execution=3.3 sec, VM=vm-1, Execution-Cost=$0.0042, Energy=1 Ws
      Task ID00060: Sub-Deadline=55.5 sec, Start=48.5 sec, End=53.1 sec, Execution=4.6 sec, VM=vm-8, Execution-Cost=$0.0057, Energy=2 Ws
      Task ID00061: Sub-Deadline=136.5 sec, Start=115.7 sec, End=133.3 sec, Execution=17.6 sec, VM=vm-73, Execution-Cost=$0.0088, Energy=3 Ws
      Task ID00062: Sub-Deadline=127.3 sec, Start=112.7 sec, End=123.1 sec, Execution=10.4 sec, VM=vm-74, Execution-Cost=$0.0052, Energy=2 Ws
      Task ID00063: Sub-Deadline=154.8 sec, Start=118.0 sec, End=145.0 sec, Execution=26.9 sec, VM=vm-66, Execution-Cost=$0.0135, Energy=5 Ws
      Task ID00064: Sub-Deadline=142.7 sec, Start=115.3 sec, End=141.9 sec, Execution=26.6 sec, VM=vm-67, Execution-Cost=$0.0133, Energy=5 Ws
      Task ID00065: Sub-Deadline=126.7 sec, Start=116.8 sec, End=125.5 sec, Execution=8.7 sec, VM=vm-69, Execution-Cost=$0.0108, Energy=4 Ws
      Task ID00066: Sub-Deadline=135.5 sec, Start=112.8 sec, End=139.7 sec, Execution=26.9 sec, VM=vm-71, Execution-Cost=$0.0134, Energy=5 Ws
      Task ID00067: Sub-Deadline=82.8 sec, Start=74.9 sec, End=81.4 sec, Execution=6.4 sec, VM=vm-22, Execution-Cost=$0.0080, Energy=3 Ws
      Task ID00068: Sub-Deadline=82.1 sec, Start=74.3 sec, End=82.4 sec, Execution=8.2 sec, VM=vm-56, Execution-Cost=$0.0056, Energy=2 Ws
      Task ID00069: Sub-Deadline=86.1 sec, Start=73.9 sec, End=79.2 sec, Execution=5.3 sec, VM=vm-15, Execution-Cost=$0.0066, Energy=2 Ws
      Task ID00070: Sub-Deadline=101.1 sec, Start=79.9 sec, End=88.7 sec, Execution=8.9 sec, VM=vm-55, Execution-Cost=$0.0111, Energy=4 Ws
      Task ID00071: Sub-Deadline=88.8 sec, Start=73.0 sec, End=79.9 sec, Execution=6.8 sec, VM=vm-55, Execution-Cost=$0.0085, Energy=3 Ws
      Task ID00072: Sub-Deadline=88.5 sec, Start=79.5 sec, End=86.9 sec, Execution=7.4 sec, VM=vm-27, Execution-Cost=$0.0092, Energy=3 Ws
      Task ID00073: Sub-Deadline=58.0 sec, Start=46.1 sec, End=56.0 sec, Execution=9.9 sec, VM=vm-20, Execution-Cost=$0.0124, Energy=4 Ws
      Task ID00074: Sub-Deadline=59.8 sec, Start=44.2 sec, End=54.5 sec, Execution=10.3 sec, VM=vm-19, Execution-Cost=$0.0114, Energy=4 Ws
      Task ID00075: Sub-Deadline=47.8 sec, Start=40.7 sec, End=46.1 sec, Execution=5.5 sec, VM=vm-20, Execution-Cost=$0.0068, Energy=2 Ws
      Task ID00076: Sub-Deadline=63.8 sec, Start=50.5 sec, End=58.9 sec, Execution=8.4 sec, VM=vm-2, Execution-Cost=$0.0105, Energy=4 Ws
      Task ID00077: Sub-Deadline=56.2 sec, Start=46.5 sec, End=51.8 sec, Execution=5.2 sec, VM=vm-17, Execution-Cost=$0.0065, Energy=2 Ws
      Task ID00078: Sub-Deadline=49.0 sec, Start=43.7 sec, End=48.7 sec, Execution=4.9 sec, VM=vm-16, Execution-Cost=$0.0062, Energy=2 Ws
      Task ID00079: Sub-Deadline=51.9 sec, Start=47.1 sec, End=52.8 sec, Execution=5.7 sec, VM=vm-5, Execution-Cost=$0.0071, Energy=3 Ws
      Task ID00080: Sub-Deadline=50.2 sec, Start=44.5 sec, End=47.1 sec, Execution=2.6 sec, VM=vm-5, Execution-Cost=$0.0033, Energy=1 Ws
      Task ID00081: Sub-Deadline=55.6 sec, Start=48.7 sec, End=55.1 sec, Execution=6.5 sec, VM=vm-29, Execution-Cost=$0.0081, Energy=3 Ws
      Task ID00082: Sub-Deadline=50.2 sec, Start=47.7 sec, End=50.3 sec, Execution=2.5 sec, VM=vm-30, Execution-Cost=$0.0032, Energy=1 Ws
      Task ID00083: Sub-Deadline=57.6 sec, Start=48.2 sec, End=53.3 sec, Execution=5.1 sec, VM=vm-31, Execution-Cost=$0.0064, Energy=2 Ws
      Task ID00084: Sub-Deadline=50.6 sec, Start=46.2 sec, End=49.8 sec, Execution=3.6 sec, VM=vm-10, Execution-Cost=$0.0045, Energy=2 Ws
      Task ID00085: Sub-Deadline=59.7 sec, Start=49.7 sec, End=60.3 sec, Execution=10.6 sec, VM=vm-23, Execution-Cost=$0.0133, Energy=5 Ws
      Task ID00086: Sub-Deadline=61.7 sec, Start=47.8 sec, End=55.0 sec, Execution=7.3 sec, VM=vm-25, Execution-Cost=$0.0091, Energy=3 Ws
      Task ID00087: Sub-Deadline=70.8 sec, Start=60.0 sec, End=73.0 sec, Execution=13.0 sec, VM=vm-7, Execution-Cost=$0.0163, Energy=6 Ws
      Task ID00088: Sub-Deadline=59.5 sec, Start=48.0 sec, End=54.6 sec, Execution=6.7 sec, VM=vm-27, Execution-Cost=$0.0083, Energy=3 Ws
      Task ID00089: Sub-Deadline=62.6 sec, Start=47.6 sec, End=58.0 sec, Execution=10.4 sec, VM=vm-26, Execution-Cost=$0.0130, Energy=5 Ws
      Task ID00090: Sub-Deadline=56.0 sec, Start=47.4 sec, End=53.6 sec, Execution=6.2 sec, VM=vm-28, Execution-Cost=$0.0077, Energy=3 Ws
      Task ID00091: Sub-Deadline=83.4 sec, Start=74.5 sec, End=83.9 sec, Execution=9.5 sec, VM=vm-37, Execution-Cost=$0.0118, Energy=4 Ws
      Task ID00092: Sub-Deadline=89.1 sec, Start=65.3 sec, End=73.0 sec, Execution=7.7 sec, VM=vm-20, Execution-Cost=$0.0096, Energy=3 Ws
      Task ID00093: Sub-Deadline=80.2 sec, Start=70.4 sec, End=77.2 sec, Execution=6.8 sec, VM=vm-25, Execution-Cost=$0.0085, Energy=3 Ws
      Task ID00094: Sub-Deadline=83.6 sec, Start=73.0 sec, End=81.2 sec, Execution=8.2 sec, VM=vm-20, Execution-Cost=$0.0102, Energy=4 Ws
      Task ID00095: Sub-Deadline=90.8 sec, Start=72.3 sec, End=83.5 sec, Execution=11.1 sec, VM=vm-39, Execution-Cost=$0.0139, Energy=5 Ws
      Task ID00096: Sub-Deadline=92.7 sec, Start=78.1 sec, End=89.8 sec, Execution=11.8 sec, VM=vm-29, Execution-Cost=$0.0147, Energy=5 Ws
      Task ID00097: Sub-Deadline=53.4 sec, Start=45.3 sec, End=50.5 sec, Execution=5.2 sec, VM=vm-24, Execution-Cost=$0.0065, Energy=2 Ws
      Task ID00098: Sub-Deadline=51.8 sec, Start=44.8 sec, End=49.7 sec, Execution=4.9 sec, VM=vm-23, Execution-Cost=$0.0061, Energy=2 Ws
      Task ID00099: Sub-Deadline=57.5 sec, Start=48.7 sec, End=55.3 sec, Execution=6.6 sec, VM=vm-16, Execution-Cost=$0.0083, Energy=3 Ws
      Task ID00100: Sub-Deadline=49.2 sec, Start=44.4 sec, End=48.5 sec, Execution=4.2 sec, VM=vm-8, Execution-Cost=$0.0052, Energy=2 Ws
      Task ID00101: Sub-Deadline=60.3 sec, Start=45.1 sec, End=55.1 sec, Execution=10.0 sec, VM=vm-22, Execution-Cost=$0.0125, Energy=5 Ws
      Task ID00102: Sub-Deadline=48.9 sec, Start=44.9 sec, End=48.4 sec, Execution=3.5 sec, VM=vm-21, Execution-Cost=$0.0044, Energy=2 Ws
      Task ID00103: Sub-Deadline=54.8 sec, Start=44.6 sec, End=54.6 sec, Execution=10.0 sec, VM=vm-18, Execution-Cost=$0.0111, Energy=4 Ws
      Task ID00104: Sub-Deadline=44.9 sec, Start=39.8 sec, End=44.2 sec, Execution=4.4 sec, VM=vm-19, Execution-Cost=$0.0049, Energy=2 Ws
      Task ID00105: Sub-Deadline=48.2 sec, Start=41.6 sec, End=47.4 sec, Execution=5.7 sec, VM=vm-1, Execution-Cost=$0.0072, Energy=3 Ws
      Task ID00106: Sub-Deadline=43.7 sec, Start=40.4 sec, End=44.4 sec, Execution=3.9 sec, VM=vm-8, Execution-Cost=$0.0049, Energy=2 Ws
      Task ID00107: Sub-Deadline=45.0 sec, Start=39.8 sec, End=44.6 sec, Execution=4.9 sec, VM=vm-18, Execution-Cost=$0.0054, Energy=2 Ws
      Task ID00108: Sub-Deadline=45.8 sec, Start=39.4 sec, End=44.5 sec, Execution=5.1 sec, VM=vm-5, Execution-Cost=$0.0064, Energy=2 Ws
      Task ID00109: Sub-Deadline=119.0 sec, Start=106.9 sec, End=115.7 sec, Execution=8.8 sec, VM=vm-73, Execution-Cost=$0.0044, Energy=2 Ws
      Task ID00110: Sub-Deadline=123.9 sec, Start=108.2 sec, End=116.8 sec, Execution=8.6 sec, VM=vm-69, Execution-Cost=$0.0108, Energy=4 Ws
      Task ID00111: Sub-Deadline=127.0 sec, Start=106.9 sec, End=122.6 sec, Execution=15.7 sec, VM=vm-70, Execution-Cost=$0.0079, Energy=3 Ws
      Task ID00112: Sub-Deadline=116.9 sec, Start=106.9 sec, End=112.8 sec, Execution=6.0 sec, VM=vm-71, Execution-Cost=$0.0030, Energy=1 Ws
      Task ID00113: Sub-Deadline=117.6 sec, Start=106.9 sec, End=112.7 sec, Execution=5.8 sec, VM=vm-74, Execution-Cost=$0.0029, Energy=1 Ws
      Task ID00114: Sub-Deadline=120.1 sec, Start=106.9 sec, End=120.5 sec, Execution=13.6 sec, VM=vm-72, Execution-Cost=$0.0068, Energy=2 Ws
      Task ID00115: Sub-Deadline=42.5 sec, Start=36.8 sec, End=40.4 sec, Execution=3.6 sec, VM=vm-10, Execution-Cost=$0.0046, Energy=2 Ws
      Task ID00116: Sub-Deadline=40.6 sec, Start=38.1 sec, End=41.0 sec, Execution=2.8 sec, VM=vm-16, Execution-Cost=$0.0036, Energy=1 Ws
      Task ID00117: Sub-Deadline=49.8 sec, Start=42.1 sec, End=49.2 sec, Execution=7.2 sec, VM=vm-3, Execution-Cost=$0.0090, Energy=3 Ws
      Task ID00118: Sub-Deadline=39.9 sec, Start=36.8 sec, End=39.4 sec, Execution=2.6 sec, VM=vm-5, Execution-Cost=$0.0032, Energy=1 Ws
      Task ID00119: Sub-Deadline=41.3 sec, Start=34.5 sec, End=37.9 sec, Execution=3.4 sec, VM=vm-1, Execution-Cost=$0.0042, Energy=2 Ws
      Task ID00120: Sub-Deadline=49.9 sec, Start=39.8 sec, End=47.7 sec, Execution=7.9 sec, VM=vm-14, Execution-Cost=$0.0099, Energy=4 Ws
      Task ID00121: Sub-Deadline=62.2 sec, Start=51.0 sec, End=58.3 sec, Execution=7.3 sec, VM=vm-35, Execution-Cost=$0.0091, Energy=3 Ws
      Task ID00122: Sub-Deadline=63.3 sec, Start=55.1 sec, End=63.3 sec, Execution=8.1 sec, VM=vm-22, Execution-Cost=$0.0102, Energy=4 Ws
      Task ID00123: Sub-Deadline=56.2 sec, Start=53.3 sec, End=58.9 sec, Execution=5.6 sec, VM=vm-31, Execution-Cost=$0.0070, Energy=3 Ws
      Task ID00124: Sub-Deadline=63.1 sec, Start=54.6 sec, End=59.0 sec, Execution=4.4 sec, VM=vm-27, Execution-Cost=$0.0055, Energy=2 Ws
      Task ID00125: Sub-Deadline=57.9 sec, Start=51.8 sec, End=57.8 sec, Execution=6.1 sec, VM=vm-17, Execution-Cost=$0.0076, Energy=3 Ws
      Task ID00126: Sub-Deadline=55.3 sec, Start=49.2 sec, End=54.2 sec, Execution=4.9 sec, VM=vm-3, Execution-Cost=$0.0062, Energy=2 Ws
      Task ID00127: Sub-Deadline=67.7 sec, Start=56.9 sec, End=64.7 sec, Execution=7.8 sec, VM=vm-47, Execution-Cost=$0.0098, Energy=4 Ws
      Task ID00128: Sub-Deadline=68.8 sec, Start=58.3 sec, End=63.9 sec, Execution=5.6 sec, VM=vm-35, Execution-Cost=$0.0070, Energy=3 Ws
      Task ID00129: Sub-Deadline=78.4 sec, Start=65.9 sec, End=72.1 sec, Execution=6.2 sec, VM=vm-11, Execution-Cost=$0.0077, Energy=3 Ws
      Task ID00130: Sub-Deadline=65.3 sec, Start=55.0 sec, End=60.1 sec, Execution=5.1 sec, VM=vm-44, Execution-Cost=$0.0064, Energy=2 Ws
      Task ID00131: Sub-Deadline=65.1 sec, Start=59.4 sec, End=63.0 sec, Execution=3.6 sec, VM=vm-52, Execution-Cost=$0.0045, Energy=2 Ws
      Task ID00132: Sub-Deadline=73.8 sec, Start=58.8 sec, End=67.8 sec, Execution=9.0 sec, VM=vm-32, Execution-Cost=$0.0113, Energy=4 Ws
      Task ID00133: Sub-Deadline=49.6 sec, Start=51.7 sec, End=52.8 sec, Execution=1.1 sec, VM=vm-41, Execution-Cost=$0.0014, Energy=1 Ws
      Task ID00134: Sub-Deadline=46.6 sec, Start=49.8 sec, End=50.7 sec, Execution=0.9 sec, VM=vm-32, Execution-Cost=$0.0012, Energy=0 Ws
      Task ID00135: Sub-Deadline=45.5 sec, Start=47.0 sec, End=48.2 sec, Execution=1.2 sec, VM=vm-31, Execution-Cost=$0.0015, Energy=1 Ws
      Task ID00136: Sub-Deadline=55.7 sec, Start=53.4 sec, End=55.7 sec, Execution=2.3 sec, VM=vm-40, Execution-Cost=$0.0029, Energy=1 Ws
      Task ID00137: Sub-Deadline=51.7 sec, Start=51.9 sec, End=53.6 sec, Execution=1.7 sec, VM=vm-42, Execution-Cost=$0.0021, Energy=1 Ws
      Task ID00138: Sub-Deadline=52.6 sec, Start=54.4 sec, End=55.9 sec, Execution=1.4 sec, VM=vm-51, Execution-Cost=$0.0018, Energy=1 Ws
      Task ID00139: Sub-Deadline=123.5 sec, Start=123.8 sec, End=125.5 sec, Execution=1.7 sec, VM=vm-82, Execution-Cost=$0.0022, Energy=1 Ws
      Task ID00140: Sub-Deadline=131.3 sec, Start=127.3 sec, End=129.4 sec, Execution=2.0 sec, VM=vm-77, Execution-Cost=$0.0026, Energy=1 Ws
      Task ID00141: Sub-Deadline=133.3 sec, Start=127.9 sec, End=131.3 sec, Execution=3.4 sec, VM=vm-72, Execution-Cost=$0.0017, Energy=1 Ws
      Task ID00142: Sub-Deadline=121.1 sec, Start=119.8 sec, End=122.0 sec, Execution=2.2 sec, VM=vm-78, Execution-Cost=$0.0027, Energy=1 Ws
      Task ID00143: Sub-Deadline=124.4 sec, Start=121.0 sec, End=125.2 sec, Execution=4.2 sec, VM=vm-79, Execution-Cost=$0.0053, Energy=2 Ws
      Task ID00144: Sub-Deadline=123.6 sec, Start=117.0 sec, End=123.0 sec, Execution=6.0 sec, VM=vm-75, Execution-Cost=$0.0058, Energy=2 Ws
      Task ID00145: Sub-Deadline=39.6 sec, Start=43.9 sec, End=45.1 sec, Execution=1.2 sec, VM=vm-22, Execution-Cost=$0.0015, Energy=1 Ws
      Task ID00146: Sub-Deadline=39.4 sec, Start=43.9 sec, End=44.9 sec, Execution=1.0 sec, VM=vm-21, Execution-Cost=$0.0012, Energy=0 Ws
      Task ID00147: Sub-Deadline=42.4 sec, Start=46.9 sec, End=47.6 sec, Execution=0.7 sec, VM=vm-26, Execution-Cost=$0.0009, Energy=0 Ws
      Task ID00148: Sub-Deadline=36.6 sec, Start=39.7 sec, End=40.6 sec, Execution=0.9 sec, VM=vm-17, Execution-Cost=$0.0012, Energy=0 Ws
      Task ID00149: Sub-Deadline=41.2 sec, Start=43.9 sec, End=45.3 sec, Execution=1.4 sec, VM=vm-24, Execution-Cost=$0.0018, Energy=1 Ws
      Task ID00150: Sub-Deadline=36.8 sec, Start=39.9 sec, End=40.7 sec, Execution=0.8 sec, VM=vm-20, Execution-Cost=$0.0010, Energy=0 Ws
      Task ID00151: Sub-Deadline=64.6 sec, Start=61.4 sec, End=63.8 sec, Execution=2.4 sec, VM=vm-45, Execution-Cost=$0.0030, Energy=1 Ws
      Task ID00152: Sub-Deadline=65.6 sec, Start=61.5 sec, End=63.1 sec, Execution=1.6 sec, VM=vm-20, Execution-Cost=$0.0020, Energy=1 Ws
      Task ID00153: Sub-Deadline=65.1 sec, Start=60.8 sec, End=62.3 sec, Execution=1.5 sec, VM=vm-41, Execution-Cost=$0.0019, Energy=1 Ws
      Task ID00154: Sub-Deadline=59.8 sec, Start=55.7 sec, End=58.1 sec, Execution=2.4 sec, VM=vm-40, Execution-Cost=$0.0030, Energy=1 Ws
      Task ID00155: Sub-Deadline=62.7 sec, Start=61.0 sec, End=62.5 sec, Execution=1.5 sec, VM=vm-41, Execution-Cost=$0.0019, Energy=1 Ws
      Task ID00156: Sub-Deadline=62.8 sec, Start=60.0 sec, End=61.0 sec, Execution=1.0 sec, VM=vm-20, Execution-Cost=$0.0013, Energy=0 Ws
